sku,style_id,product_name,category,subcategory,color,size,season,unit_price
AST-LIN-BLZ-SND-XS,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sand,XS,Spring 2026,128.00
AST-LIN-BLZ-SND-S,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sand,S,Spring 2026,128.00
AST-LIN-BLZ-SND-M,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sand,M,Spring 2026,128.00
AST-LIN-BLZ-SND-L,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sand,L,Spring 2026,128.00
AST-LIN-BLZ-NVY-XS,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Navy,XS,Spring 2026,128.00
AST-LIN-BLZ-NVY-S,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Navy,S,Spring 2026,128.00
AST-LIN-BLZ-NVY-M,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Navy,M,Spring 2026,128.00
AST-LIN-BLZ-NVY-L,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Navy,L,Spring 2026,128.00
AST-LIN-BLZ-SGE-XS,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sage,XS,Spring 2026,128.00
AST-LIN-BLZ-SGE-S,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sage,S,Spring 2026,128.00
AST-LIN-BLZ-SGE-M,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sage,M,Spring 2026,128.00
AST-LIN-BLZ-SGE-L,AST-LIN-BLZ,Aster Linen Blazer,Apparel,Blazer,Sage,L,Spring 2026,128.00
ECL-RUN-SNK-WHT-08,ECL-RUN-SNK,Eclipse Runner Sneaker,Footwear,Sneaker,White,8,Spring 2026,96.00
NVA-UTL-TOT-CML-OS,NVA-UTL-TOT,Nova Utility Tote,Accessories,Bag,Camel,OS,Spring 2026,84.00
LUN-WRP-DRS-COR-M,LUN-WRP-DRS,Luna Wrap Dress,Apparel,Dress,Coral,M,Spring 2026,112.00
ORI-SLM-JEA-IND-30,ORI-SLM-JEA,Orion Slim Jeans,Apparel,Jeans,Indigo,30,Core,98.00
HBR-LTH-SND-TAN-09,HBR-LTH-SND,Harbor Leather Sandal,Footwear,Sandal,Tan,9,Spring 2026,89.00
MRD-CRW-TEE-WHT-M,MRD-CRW-TEE,Meridian Crew Tee,Apparel,Top,White,M,Core,32.00
MRD-CRW-TEE-BLK-L,MRD-CRW-TEE,Meridian Crew Tee,Apparel,Top,Black,L,Core,32.00
RIV-PLT-SKR-OLV-S,RIV-PLT-SKR,Riviera Pleated Skirt,Apparel,Skirt,Olive,S,Spring 2026,74.00
KST-DNM-JKT-LTB-M,KST-DNM-JKT,Keystone Denim Jacket,Apparel,Jacket,Light Blue,M,Core,118.00
STR-CVS-SNK-NAV-10,STR-CVS-SNK,Stratus Canvas Sneaker,Footwear,Sneaker,Navy,10,Core,68.00
VLY-SLK-SCF-BLS-OS,VLY-SLK-SCF,Valley Silk Scarf,Accessories,Scarf,Blush,OS,Spring 2026,58.00
PRM-CHN-BLT-CRM-OS,PRM-CHN-BLT,Prime Chain Belt,Accessories,Belt,Cream,OS,Spring 2026,46.00
