date,store_id,sku,units_sold,net_sales
2026-01-26,ST001,AST-LIN-BLZ-SND-XS,5,640.00
2026-01-26,ST001,AST-LIN-BLZ-SND-S,3,384.00
2026-01-26,ST001,AST-LIN-BLZ-SND-M,1,128.00
2026-01-26,ST001,AST-LIN-BLZ-SND-L,0,0.00
2026-01-26,ST001,AST-LIN-BLZ-NVY-XS,4,512.00
2026-01-26,ST001,AST-LIN-BLZ-NVY-S,2,256.00
2026-01-26,ST001,AST-LIN-BLZ-NVY-M,5,640.00
2026-01-26,ST001,AST-LIN-BLZ-NVY-L,2,256.00
2026-01-26,ST001,AST-LIN-BLZ-SGE-XS,3,384.00
2026-01-26,ST001,AST-LIN-BLZ-SGE-S,0,0.00
2026-01-26,ST001,AST-LIN-BLZ-SGE-M,3,384.00
2026-01-26,ST001,AST-LIN-BLZ-SGE-L,0,0.00
2026-01-26,ST001,ECL-RUN-SNK-WHT-08,11,1056.00
2026-01-26,ST001,NVA-UTL-TOT-CML-OS,11,924.00
2026-01-26,ST001,LUN-WRP-DRS-COR-M,10,1120.00
2026-01-26,ST001,ORI-SLM-JEA-IND-30,11,1078.00
2026-01-26,ST001,HBR-LTH-SND-TAN-09,5,445.00
2026-01-26,ST001,MRD-CRW-TEE-WHT-M,3,96.00
2026-01-26,ST001,MRD-CRW-TEE-BLK-L,0,0.00
2026-01-26,ST001,RIV-PLT-SKR-OLV-S,1,74.00
2026-01-26,ST001,KST-DNM-JKT-LTB-M,2,236.00
2026-01-26,ST001,STR-CVS-SNK-NAV-10,1,68.00
2026-01-26,ST001,VLY-SLK-SCF-BLS-OS,0,0.00
2026-01-26,ST001,PRM-CHN-BLT-CRM-OS,3,138.00
2026-01-26,ST002,AST-LIN-BLZ-SND-XS,3,384.00
2026-01-26,ST002,AST-LIN-BLZ-SND-S,3,384.00
2026-01-26,ST002,AST-LIN-BLZ-SND-M,5,640.00
2026-01-26,ST002,AST-LIN-BLZ-SND-L,3,384.00
2026-01-26,ST002,AST-LIN-BLZ-NVY-XS,5,640.00
2026-01-26,ST002,AST-LIN-BLZ-NVY-S,2,256.00
2026-01-26,ST002,AST-LIN-BLZ-NVY-M,0,0.00
2026-01-26,ST002,AST-LIN-BLZ-NVY-L,2,256.00
2026-01-26,ST002,AST-LIN-BLZ-SGE-XS,5,640.00
2026-01-26,ST002,AST-LIN-BLZ-SGE-S,3,384.00
2026-01-26,ST002,AST-LIN-BLZ-SGE-M,1,128.00
2026-01-26,ST002,AST-LIN-BLZ-SGE-L,1,128.00
2026-01-26,ST002,ECL-RUN-SNK-WHT-08,9,864.00
2026-01-26,ST002,NVA-UTL-TOT-CML-OS,9,756.00
2026-01-26,ST002,LUN-WRP-DRS-COR-M,8,896.00
2026-01-26,ST002,ORI-SLM-JEA-IND-30,8,784.00
2026-01-26,ST002,HBR-LTH-SND-TAN-09,9,801.00
2026-01-26,ST002,MRD-CRW-TEE-WHT-M,4,128.00
2026-01-26,ST002,MRD-CRW-TEE-BLK-L,0,0.00
2026-01-26,ST002,RIV-PLT-SKR-OLV-S,4,296.00
2026-01-26,ST002,KST-DNM-JKT-LTB-M,4,472.00
2026-01-26,ST002,STR-CVS-SNK-NAV-10,1,68.00
2026-01-26,ST002,VLY-SLK-SCF-BLS-OS,2,116.00
2026-01-26,ST002,PRM-CHN-BLT-CRM-OS,1,46.00
2026-01-26,ST003,AST-LIN-BLZ-SND-XS,4,512.00
2026-01-26,ST003,AST-LIN-BLZ-SND-S,3,384.00
2026-01-26,ST003,AST-LIN-BLZ-SND-M,0,0.00
2026-01-26,ST003,AST-LIN-BLZ-SND-L,1,128.00
2026-01-26,ST003,AST-LIN-BLZ-NVY-XS,2,256.00
2026-01-26,ST003,AST-LIN-BLZ-NVY-S,3,384.00
2026-01-26,ST003,AST-LIN-BLZ-NVY-M,0,0.00
2026-01-26,ST003,AST-LIN-BLZ-NVY-L,5,640.00
2026-01-26,ST003,AST-LIN-BLZ-SGE-XS,3,384.00
2026-01-26,ST003,AST-LIN-BLZ-SGE-S,0,0.00
2026-01-26,ST003,AST-LIN-BLZ-SGE-M,3,384.00
2026-01-26,ST003,AST-LIN-BLZ-SGE-L,1,128.00
2026-01-26,ST003,ECL-RUN-SNK-WHT-08,9,864.00
2026-01-26,ST003,NVA-UTL-TOT-CML-OS,6,504.00
2026-01-26,ST003,LUN-WRP-DRS-COR-M,10,1120.00
2026-01-26,ST003,ORI-SLM-JEA-IND-30,11,1078.00
2026-01-26,ST003,HBR-LTH-SND-TAN-09,6,534.00
2026-01-26,ST003,MRD-CRW-TEE-WHT-M,1,32.00
2026-01-26,ST003,MRD-CRW-TEE-BLK-L,2,64.00
2026-01-26,ST003,RIV-PLT-SKR-OLV-S,1,74.00
2026-01-26,ST003,KST-DNM-JKT-LTB-M,0,0.00
2026-01-26,ST003,STR-CVS-SNK-NAV-10,4,272.00
2026-01-26,ST003,VLY-SLK-SCF-BLS-OS,2,116.00
2026-01-26,ST003,PRM-CHN-BLT-CRM-OS,0,0.00
2026-01-26,ST004,AST-LIN-BLZ-SND-XS,3,384.00
2026-01-26,ST004,AST-LIN-BLZ-SND-S,4,512.00
2026-01-26,ST004,AST-LIN-BLZ-SND-M,1,128.00
2026-01-26,ST004,AST-LIN-BLZ-SND-L,5,640.00
2026-01-26,ST004,AST-LIN-BLZ-NVY-XS,1,128.00
2026-01-26,ST004,AST-LIN-BLZ-NVY-S,3,384.00
2026-01-26,ST004,AST-LIN-BLZ-NVY-M,0,0.00
2026-01-26,ST004,AST-LIN-BLZ-NVY-L,0,0.00
2026-01-26,ST004,AST-LIN-BLZ-SGE-XS,5,640.00
2026-01-26,ST004,AST-LIN-BLZ-SGE-S,1,128.00
2026-01-26,ST004,AST-LIN-BLZ-SGE-M,5,640.00
